SV_TAXONOMY,TAXONOMY_NAME,RG_REFERENCE,RG_NAME,SV_REFERENCE,SV_NAME,SV_DESCRIPTION,SL_REFERENCE,LC_REFERENCE,PHONE_NUMBER,WEBSITE,EMAIL_ADDRESS,WHEELCHAIR_ACCESSIBLE,LANGUAGE,HOURS,STREET_NUMBER,STREET_NAME,STREET_TYPE,STREET_DIRECTION,CITY,PROVINCE,POSTAL_CODE,LATITUDE,LONGITUDE,811_LINK
LL-3000,Hospitals,17652139,Northern Health Authority,17992303,Wrinch Memorial Hospital,Provides community hospital services.,17692225,17652355,,www.northernhealth.ca/OurServices/Facilities.aspx?FacilityID=30,,N,,,2510 62 Highway,,,,Hazelton,BC,V0J 1Y0,55.259655,-127.651295,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992303&SiteResourceAgencyNum=17652355
LL-3000,Hospitals,17648936,Vancouver Coastal Health,17992339,Squamish General Hospital,Provides community hospital services.,17974776,17649260,6048925211,,,N,,Mon 11:00 - 20:00; Tue 11:00 - 20:00; Wed 11:00 - 20:00; Thu 11:00 - 20:00; Fri 11:00 - 20:00; Sat 11:00 - 20:00; Sun 11:00 - 20:00; Number of visitors and length of visits may be limited based on patient or unit needs.,38140 Behrner Drive,,,,Squamish,BC,V8B 0J3,49.700092,-123.140086,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992339&SiteResourceAgencyNum=17649260
LL-3000,Hospitals,17648936,Vancouver Coastal Health,18119693,Bella Coola General Hospital,Provides community hospital services.,18120995,17649124,2507995311,,,N,,,1025 Elcho Street,,,,Bella Coola,BC,V0T 1C0,52.372895,-126.762576,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=18119693&SiteResourceAgencyNum=17649124
LL-3000,Hospitals,17650682,Island Health,17992279,Royal Jubilee Hospital,Provides community hospital services.,17690813,17650835,2503708000,http://www.viha.ca/locations/royal_jubilee_hospital.htm,,N,,,1952 Bay Street,,,,Victoria,BC,V8R 1J8,48.434061,-123.326541,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992279&SiteResourceAgencyNum=17650835
LL-3000,Hospitals,17650682,Island Health,17992279,Victoria Mental Health Centre,Provides community hospital services.,17690815,17650778,2503708000,http://www.viha.ca/locations/royal_jubilee_hospital.htm,,N,,,2328 Trent Street,,,,Victoria,BC,V8R 4Z3,48.43242,-123.323847,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992279&SiteResourceAgencyNum=17650778
LL-3000,Hospitals,17648936,Vancouver Coastal Health,17690807,Vancouver General Hospital - Leon Judah Blackmore Pavilion,Provides community hospital services and specialized health care services to residents in Vancouver and across the province. The emergency department assess and treats patients aged 17 and over. Children aged 16 and under should go to BC Children's Hospital.,17690827,17649184,6048754111,,,N,,24/7. Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.,855 12th Avenue West,,,,Vancouver,BC,V5Z 1M9,49.260542,-123.122823,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17690807&SiteResourceAgencyNum=17649184
LL-3000,Hospitals,17650682,Island Health,17690964,Cormorant Island Community Health Centre,Provides community hospital services.,17690967,17650887,2509745585,http://www.viha.ca/locations/cormorant_island_health_centre.htm,info@viha.ca,N,,,49 School Road,,,,Alert Bay,BC,V0N 1A0,50.583656,-126.926661,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17690964&SiteResourceAgencyNum=17650887
LL-3000,Hospitals,17650682,Island Health,17690971,Cowichan District Hospital,Provides community hospital services.,17690973,17650858,2507093000,http://www.viha.ca/locations/cowichan_district_hospital.htm,,N,,,3045 Gibbins Road,,,,Duncan,BC,V9L 1E5,48.785009,-123.723323,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17690971&SiteResourceAgencyNum=17650858
LL-3000,Hospitals,17650682,Island Health,17690980,Nanaimo Regional General Hospital,Provides community hospital services.,17690982,17650860,,http://www.viha.ca/locations/nrgh.htm,,N,,,1200 Dufferin Crescent,,,,Nanaimo,BC,V9S 2B7,49.183502,-123.969945,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17690980&SiteResourceAgencyNum=17650860
LL-3000,Hospitals,17648936,Vancouver Coastal Health,17992304,Powell River General Hospital,Provides community hospital services.,17690987,17648993,6044853211,,,N,,24/7 Emergency. Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.,5000 Joyce Avenue,,,,Powell River,BC,V8A 5R3,49.851072,-124.520727,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992304&SiteResourceAgencyNum=17648993
LL-3000,Hospitals,17644351,Fraser Health Authority,17992283,Chilliwack General Hospital,Provides community hospital services.,17690993,17644355,6047954141,www.fraserhealth.ca/find-us/hospitals/chilliwack-general-hospital/chilliwack-general-hospital,,N,,Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.,45600 Menholm Road,,,,Chilliwack,BC,V2P 1P7,49.165763,-121.962422,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992283&SiteResourceAgencyNum=17644355
LL-3000,Hospitals,17644351,Fraser Health Authority,17992343,Eagle Ridge Hospital,Provides community hospital services.,17691024,17644357,6044612022,www.fraserhealth.ca/find-us/hospitals/eagle-ridge-hospital/,,N,,Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.,475 Guildford Way,,,,Port Moody,BC,V3H 3W9,49.283374,-122.823597,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992343&SiteResourceAgencyNum=17644357
LL-3000,Hospitals,17650682,Island Health,17691020,North Island Hospital Campbell River and District,Provides community hospital services.,17691028,17650856,2508502141,http://www.viha.ca/locations/campbell_river_district_general_hospital.htm,info@viha.ca,N,,,375 2nd Avenue,,,,Campbell River,BC,V9W 3V1,50.011132,-125.243155,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17691020&SiteResourceAgencyNum=17650856
LL-3000,Hospitals,17644351,Fraser Health Authority,17992330,Fraser Canyon Hospital,Provides community hospital services.,17691037,17644442,6048695656,www.fraserhealth.ca/find-us/hospitals/fraser-canyon-hospital/,,N,,Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.,1275 7th Avenue,,,,Hope,BC,V0X 1L4,49.376899,-121.424345,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992330&SiteResourceAgencyNum=17644442
LL-3000,Hospitals,17644351,Fraser Health Authority,17992336,Jim Pattison Outpatient Care and Surgery Centre,Provides community hospital services.,17691042,17644370,6045824550,www.fraserhealth.ca/find-us/hospitals/jim-pattison-outpatient-care-and-surgery-centre/default,,N,,Mon 07:00 - 20:00; Tue 07:00 - 20:00; Wed 07:00 - 20:00; Thu 07:00 - 20:00; Fri 07:00 - 20:00; Sat 09:00 - 17:00; Sun 09:00 - 17:00; Statutory holiday hours: 09:00-17:00,9750 140th Street,,,,Surrey,BC,V3T 0G9,49.179116,-122.834272,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992336&SiteResourceAgencyNum=17644370
LL-3000,Hospitals,17646543,Interior Health Authority,17691211,Dr. Helmcken Memorial Hospital,Provides community hospital services.,17691213,17646548,2506742244,www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Dr. Helmcken Memorial Hospital&svc=&ploc=,,N,,Visiting Hours: 14:00 - 20:00 daily; Emergency Services: 24/7,640 Park Drive,,,,Clearwater,BC,V0E 1N0,51.647651,-120.018361,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17691211&SiteResourceAgencyNum=17646548
LL-3000,Hospitals,17648936,Vancouver Coastal Health,17690807,Vancouver General Hospital - Banfield Pavilion,Provides community hospital services and specialized health care services to residents in Vancouver and across the province. The emergency department assess and treats patients aged 17 and over. Children aged 16 and under should go to BC Children's Hospital.,17691296,17649018,6048754111,,,N,,Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.,2785 Ash Street,,,,Vancouver,BC,V5Z 1M9,49.260669,-123.117598,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17690807&SiteResourceAgencyNum=17649018
LL-3000,Hospitals,17648936,Vancouver Coastal Health,17690807,Vancouver General Hospital - Gordon and Leslie Diamond Health Care Centre,Provides community hospital services and specialized health care services to residents in Vancouver and across the province. The emergency department assess and treats patients aged 17 and over. Children aged 16 and under should go to BC Children's Hospital.,17691298,17648972,6048754111,,,N,,24/7. Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.,2775 Laurel Street,,,,Vancouver,BC,V5Z 1M9,49.261187,-123.125655,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17690807&SiteResourceAgencyNum=17648972
LL-3000,Hospitals,17652139,Northern Health Authority,17691789,Kitimat General Hospital and Health Centre,Provides community hospital services.,17691795,17652147,,https://northernhealth.ca/OurServices/Facilities.aspx?FacilityID=37,,N,,,920 Lahakas Boulevard S,,,,Kitimat,BC,V8C 2S3,54.050317,-128.647792,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17691789&SiteResourceAgencyNum=17652147
LL-3000,Hospitals,17648936,Vancouver Coastal Health,17992332,UBC Hospital - Detwiller Pavilion,Provides community hospital services.,17691798,17649316,6048227121,,,N,,Open visiting hours; number of visitors and length of visits may be limited based on patient or unit needs.,2255 Wesbrook Mall,,,,Vancouver,BC,V6T 2A1,49.264575,-123.244143,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992332&SiteResourceAgencyNum=17649316
LL-3000,Hospitals,17652139,Northern Health Authority,17992322,Bulkley Valley District Hospital,Provides community hospital services.,17691834,17652292,,www.northernhealth.ca/OurServices/Facilities.aspx?FacilityID=70,,N,,,3950 8th Avenue,,,,Smithers,BC,V0J 2N0,54.784976,-127.163822,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992322&SiteResourceAgencyNum=17652292
LL-3000,Hospitals,17652139,Northern Health Authority,17992338,Mills Memorial Hospital,Provides community hospital services.,17691846,17652898,,www.northernhealth.ca/OurServices/Facilities.aspx?FacilityID=75,,N,,,4720 Haugland Avenue,,,,Terrace,BC,V8G 2W7,54.510843,-128.596516,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992338&SiteResourceAgencyNum=17652898
LL-3000,Hospitals,17646543,Interior Health Authority,17992311,Royal Inland Hospital,Provides community hospital services.,17691856,17646898,2503745111,www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Royal Inland Hospital&svc=&ploc=,,N,,Visiting Hours: 15:00 - 20:00 daily; Emergency Services: 24/7,311 Columbia Street,,,,Kamloops,BC,V2C 2T1,50.671418,-120.334025,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992311&SiteResourceAgencyNum=17646898
LL-3000,Hospitals,17646543,Interior Health Authority,17992305,Shuswap Lake General Hospital,Provides community hospital services.,17691881,17647118,2508333600,www.interiorhealth.ca/FindUs/_layouts/FindUs/info.aspx?type=Location&loc=Shuswap Lake General Hospital&svc=&ploc=,,N,,Emergency Services: 24/7,601 10th Street NE,,,,Salmon Arm,BC,V1E 4N6,50.704586,-119.274422,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992305&SiteResourceAgencyNum=17647118
LL-3000,Hospitals,17652139,Northern Health Authority,17992297,Prince Rupert Regional Hospital,Provides community hospital services.,17691892,17652308,,www.northernhealth.ca/OurServices/Facilities.aspx?FacilityID=59,,N,,,1305 Summit Avenue,,,,Prince Rupert,BC,V8J 2A6,54.304265,-130.332179,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992297&SiteResourceAgencyNum=17652308
LL-3000,Hospitals,17652139,Northern Health Authority,17992317,G.R. Baker Hospital,Provides community hospital services.,17691912,17652141,,www.northernhealth.ca/OurServices/Facilities.aspx?FacilityID=67,,N,,,543 Front Street,,,,Quesnel,BC,V2J 2K7,52.981739,-122.498817,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17992317&SiteResourceAgencyNum=17652141
